Timestamp,Voltage1,Voltage2
2.030806541442871,,
3.042208433151245,716,372
4.053893804550171,505,309
5.06256103515625,493,263
6.073335409164429,490,234
7.084995269775391,493,214
8.093782663345337,459,200
9.104596138000488,461,195
10.113518238067627,461,191
11.124048709869385,460,189
12.132636547088623,505,188
13.143383264541626,449,187
14.151224136352539,475,188
15.15954041481018,462,186
16.170559406280518,465,189
17.178852081298828,501,186
18.19080877304077,502,187
19.198878049850464,501,186
20.21035861968994,493,187
21.221779823303223,502,187
22.233510971069336,502,186
23.241742372512817,504,188
24.253547191619873,450,186
25.261491060256958,449,186
26.270026683807373,487,187
27.280836820602417,452,186
28.292379140853882,473,187
29.3005588054657,467,186
30.312026500701904,509,188
31.32396650314331,507,187
32.335830211639404,505,186
33.34769940376282,507,187
34.359049797058105,509,187
35.36740779876709,508,186
36.37892460823059,508,188
37.390355587005615,462,186
38.39823913574219,457,187
39.406803131103516,501,185
40.41805982589722,463,187
41.4293532371521,473,188
42.43790864944458,461,186
43.44930124282837,467,188
44.45734477043152,464,187
45.468945026397705,466,188
46.48082137107849,505,188
47.492255449295044,467,186
48.500911235809326,462,188
49.51195168495178,466,187
50.52016258239746,454,189
51.531399965286255,528,190
